titulo,subtitulo,isbn,descricao,idioma,ano_publicado,paginas,preco,estoque,desconto,disponivel,dimensoes,peso
Dom Casmurro,Romance realista sobre dúvida e ciúme,9781000000009,Romance realista sobre dúvida e ciúme — edição em capa comum.,Português,1899,288,72.86,8,10.00,True,21x14x3.3 cm,721.36
Gabriela, Cravo e Canela,Amor e modernização em Ilhéus,9781000000009,Amor e modernização em Ilhéus — edição em capa comum.,Português,1958,368,91.81,16,20.00,False,20x13x1.5 cm,366.13
A Hora da Estrela,A vida de Macabéa no Rio de Janeiro,9781000000009,A vida de Macabéa no Rio de Janeiro — edição em capa comum.,Português,1977,96,70.05,76,5.00,False,23x14x2.8 cm,827.54
O Alquimista,Uma fábula sobre seguir seus sonhos,9781000000009,Uma fábula sobre seguir seus sonhos — edição em capa comum.,Português,1988,208,25.39,108,5.00,False,22x15x1.6 cm,945.77
Reinações de Narizinho,Aventuras do Sítio do Picapau Amarelo,9781000000009,Aventuras do Sítio do Picapau Amarelo — edição em capa comum.,Português,1931,352,50.14,16,15.00,True,22x15x2.9 cm,825.70
Vidas Secas,A saga de uma família sertaneja,9781000000009,A saga de uma família sertaneja — edição em capa comum.,Português,1938,176,79.63,73,0.00,False,24x13x2.0 cm,682.91
Iracema,Lenda de amor e formação do Ceará,9781000000009,Lenda de amor e formação do Ceará — edição em capa comum.,Português,1865,176,91.31,51,20.00,True,20x13x3.1 cm,798.45
Grande Sertão: Veredas,Riobaldo e Diadorim pelos sertões do Brasil,9781000000009,Riobaldo e Diadorim pelos sertões do Brasil — edição em capa comum.,Português,1956,608,98.79,114,5.00,True,22x16x2.5 cm,847.29
O Tempo e o Vento,A epopeia da família Terra Cambará,9781000000009,A epopeia da família Terra Cambará — edição em capa comum.,Português,1949,632,37.10,50,5.00,True,24x13x3.0 cm,607.31
As Meninas,Três jovens e a ditadura no Brasil,9781000000009,Três jovens e a ditadura no Brasil — edição em capa comum.,Português,1973,280,43.26,64,15.00,True,22x14x3.6 cm,800.80
Romanceiro da Inconfidência,Poemas sobre a Inconfidência Mineira,9781000000009,Poemas sobre a Inconfidência Mineira — edição em capa comum.,Português,1953,248,42.08,9,10.00,False,20x15x1.8 cm,934.33
Auto da Compadecida,Picaresca nordestina em três atos,9781000000009,Picaresca nordestina em três atos — edição em capa comum.,Português,1955,176,90.63,45,5.00,False,23x16x1.6 cm,291.70
Macunaíma,O herói sem nenhum caráter,9781000000009,O herói sem nenhum caráter — edição em capa comum.,Português,1928,240,80.77,73,10.00,False,22x16x1.8 cm,978.03
Serafim Ponte Grande,Sátira mordaz da sociedade brasileira,9781000000009,Sátira mordaz da sociedade brasileira — edição em capa comum.,Português,1933,192,63.11,16,0.00,True,21x14x3.4 cm,517.73
Marcelo, Marmelo, Martelo,Clássico da literatura infantil brasileira,9781000000009,Clássico da literatura infantil brasileira — edição em capa comum.,Português,1976,96,29.66,53,20.00,False,24x15x3.6 cm,189.18
O Menino Maluquinho,As travessuras de um garoto genial,9781000000009,As travessuras de um garoto genial — edição em capa comum.,Português,1980,128,78.95,92,20.00,True,20x15x2.0 cm,306.53
Bisa Bia, Bisa Bel,Encontro entre gerações e identidades,9781000000009,Encontro entre gerações e identidades — edição em capa comum.,Português,1981,128,25.14,97,10.00,True,22x13x3.6 cm,586.13
Agosto,Romance policial na Era Vargas,9781000000009,Romance policial na Era Vargas — edição em capa comum.,Português,1990,328,39.82,52,5.00,True,23x15x1.3 cm,923.28
Comédias para se Ler na Escola,Crônicas bem-humoradas do cotidiano,9781000000009,Crônicas bem-humoradas do cotidiano — edição em capa comum.,Português,2001,200,90.80,111,10.00,True,21x13x3.7 cm,937.56
Triste Fim de Policarpo Quaresma,Patriotismo e tragédia na Primeira República,9781000000009,Patriotismo e tragédia na Primeira República — edição em capa comum.,Português,1915,224,31.32,67,0.00,True,23x14x3.9 cm,312.10
Ensaio sobre a Cegueira,Uma cidade tomada pela escuridão,9781000000009,Uma cidade tomada pela escuridão — edição em capa comum.,Português,1995,312,64.48,82,15.00,True,22x14x2.3 cm,717.35
Mensagem,Poemas sobre a história e o mito de Portugal,9781000000009,Poemas sobre a história e o mito de Portugal — edição em capa comum.,Português,1934,120,52.91,120,20.00,False,21x13x1.8 cm,450.47
Os Maias,Crônica de uma família lisboeta,9781000000009,Crônica de uma família lisboeta — edição em capa comum.,Português,1888,700,69.02,34,20.00,True,20x13x3.2 cm,227.10
Terra Sonâmbula,Moçambique entre guerra e sonho,9781000000009,Moçambique entre guerra e sonho — edição em capa comum.,Português,1992,224,29.96,9,10.00,True,22x14x3.1 cm,351.39
Olhos d’Água,Contos de afeto, luta e memória,9781000000009,Contos de afeto, luta e memória — edição em capa comum.,Português,2014,136,34.82,117,20.00,False,23x14x3.5 cm,332.33
Lavoura Arcaica,Conflito familiar e desejo,9781000000009,Conflito familiar e desejo — edição em capa comum.,Português,1975,200,32.17,60,10.00,False,23x16x3.6 cm,223.34
A Obscena Senhora D,Monólogo visceral e poético,9781000000009,Monólogo visceral e poético — edição em capa comum.,Português,1982,160,73.91,87,0.00,True,22x16x3.4 cm,267.42
Quarto de Despejo,Diário de uma favelada,9781000000009,Diário de uma favelada — edição em capa comum.,Português,1960,200,39.27,73,15.00,True,21x16x2.0 cm,379.85
Viva o Povo Brasileiro,Sátira épica da formação do Brasil,9781000000009,Sátira épica da formação do Brasil — edição em capa comum.,Português,1984,672,94.14,61,20.00,True,24x13x3.5 cm,955.20
O Vampiro de Curitiba,Contos ferinos e urbanos,9781000000009,Contos ferinos e urbanos — edição em capa comum.,Português,1965,160,94.38,113,5.00,True,23x16x2.5 cm,871.72
Poema Sujo,Fluxo de memória e linguagem,9781000000009,Fluxo de memória e linguagem — edição em capa comum.,Português,1976,88,92.58,26,15.00,True,22x16x3.8 cm,808.10
Antologia Poética,Seleção de poemas essenciais,9781000000009,Seleção de poemas essenciais — edição em capa comum.,Português,1962,256,46.29,94,20.00,False,21x14x2.0 cm,954.97
Bagagem,Estreia poética de Adélia Prado,9781000000009,Estreia poética de Adélia Prado — edição em capa comum.,Português,1976,144,68.34,74,0.00,True,20x13x2.8 cm,582.28
Livro sobre Nada,A poesia do ínfimo e do espanto,9781000000009,A poesia do ínfimo e do espanto — edição em capa comum.,Português,1996,136,88.85,25,0.00,True,20x14x2.9 cm,720.17
Cante lá que eu canto cá,Versos populares do sertão,9781000000009,Versos populares do sertão — edição em capa comum.,Português,2001,160,42.54,20,20.00,True,24x13x1.4 cm,705.90
O Quinze,Seca, sobrevivência e afeto,9781000000009,Seca, sobrevivência e afeto — edição em capa comum.,Português,1930,208,67.29,45,10.00,True,21x15x1.9 cm,284.70
Invenção de Orfeu,Poema-livro moderno,9781000000009,Poema-livro moderno — edição em capa comum.,Português,1952,416,73.31,63,10.00,True,23x13x2.9 cm,630.39
O Cortiço,Naturalismo e crítica social,9781000000009,Naturalismo e crítica social — edição em capa comum.,Português,1890,288,32.40,73,5.00,True,22x14x3.7 cm,883.42
A Borboleta Amarela,Crônicas e memórias,9781000000009,Crônicas e memórias — edição em capa comum.,Português,1959,176,52.61,25,15.00,True,24x13x2.0 cm,710.71
Vestido de Noiva,Revolução no teatro brasileiro,9781000000009,Revolução no teatro brasileiro — edição em capa comum.,Português,1943,144,95.32,22,10.00,True,24x13x1.6 cm,405.41
Assassinato no Expresso do Oriente,Um caso de Hercule Poirot,9781000000009,Um caso de Hercule Poirot — edição em capa comum.,Português,1934,288,40.70,48,5.00,True,22x16x3.7 cm,856.88
It: A Coisa,O terror que retorna a Derry,9781000000009,O terror que retorna a Derry — edição em capa comum.,Português,1986,1104,31.82,59,10.00,True,22x13x3.4 cm,689.69
Harry Potter e a Pedra Filosofal,O início da saga do bruxo,9781000000009,O início da saga do bruxo — edição em capa comum.,Português,1997,264,44.55,99,15.00,False,20x13x1.4 cm,886.49
A Guerra dos Tronos,Crônicas de Gelo e Fogo – Livro 1,9781000000009,Crônicas de Gelo e Fogo – Livro 1 — edição em capa comum.,Português,1996,800,92.69,74,0.00,True,23x14x1.6 cm,426.61
O Senhor dos Anéis: A Sociedade do Anel,A jornada começa na Terra-média,9781000000009,A jornada começa na Terra-média — edição em capa comum.,Português,1954,576,92.32,106,0.00,True,21x14x3.1 cm,462.94
Cem Anos de Solidão,A saga dos Buendía em Macondo,9781000000009,A saga dos Buendía em Macondo — edição em capa comum.,Português,1967,448,66.89,116,15.00,True,21x14x3.9 cm,828.62
O Velho e o Mar,A luta de um pescador com um marlim,9781000000009,A luta de um pescador com um marlim — edição em capa comum.,Português,1952,136,91.01,8,5.00,True,21x16x1.9 cm,809.90
A Casa dos Espíritos,Magia e política na América Latina,9781000000009,Magia e política na América Latina — edição em capa comum.,Português,1982,464,33.01,116,0.00,False,21x14x3.5 cm,548.24
O Código Da Vinci,Mistério, arte e simbologia,9781000000009,Mistério, arte e simbologia — edição em capa comum.,Português,2003,432,47.79,106,5.00,True,21x13x2.3 cm,402.88
O Pequeno Príncipe,Um conto filosófico para todas as idades,9781000000009,Um conto filosófico para todas as idades — edição em capa comum.,Português,1943,96,30.11,103,10.00,True,24x16x2.1 cm,202.08
